ncrs,time,latitude,longitude,nv,crs,lat_bnds,lon_bnds,NDVI,TIMEOFDAY,QA,MASK,NDVI_smth1,NDVI_smth1_ds,NDVI_smth2,NDVI_smth2_dl
0,1982-01-01,41.224998474121094,-104.2249984741211,0,-32767.0,41.25,-104.25,0.1347,2019-12-30 20:58:11.997528076,16518.0,1.0,0.17252221272249793,0.17252221272249793,0.18271948667006357,0.1290643260997683
0,1982-01-01,41.224998474121094,-104.2249984741211,1,-32767.0,41.199997,-104.2,0.1347,2019-12-30 20:58:11.997528076,16518.0,1.0,0.17252221272249793,0.17252221272249793,0.18271948667006357,0.1290643260997683
0,1982-01-01,41.224998474121094,-104.17499542236328,0,-32767.0,41.25,-104.2,0.12969999,2019-12-30 20:58:11.997528076,16518.0,1.0,0.13544940090110136,0.13544940090110136,0.15528219974818078,0.12877056602963188
0,1982-01-01,41.224998474121094,-104.17499542236328,1,-32767.0,41.199997,-104.149994,0.12969999,2019-12-30 20:58:11.997528076,16518.0,1.0,0.13544940090110136,0.13544940090110136,0.15528219974818078,0.12877056602963188
0,1982-01-01,41.224998474121094,-104.125,0,-32767.0,41.25,-104.15,0.124299996,2019-12-30 20:58:11.997528076,16514.0,1.0,0.1299666312188668,0.1299666312188668,0.150716728446943,0.13113074443030381
0,1982-01-01,41.224998474121094,-104.125,1,-32767.0,41.199997,-104.1,0.124299996,2019-12-30 20:58:11.997528076,16514.0,1.0,0.1299666312188668,0.1299666312188668,0.150716728446943,0.13113074443030381
0,1982-01-01,41.224998474121094,-104.07499694824219,0,-32767.0,41.25,-104.1,0.1107,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12590701585141686,0.12590701585141686,0.14509252173151044,0.12677983874398432
0,1982-01-01,41.224998474121094,-104.07499694824219,1,-32767.0,41.199997,-104.049995,0.1107,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12590701585141686,0.12590701585141686,0.14509252173151044,0.12677983874398432
0,1982-01-01,41.224998474121094,-104.02499389648438,0,-32767.0,41.25,-104.049995,0.1033,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12894092759837736,0.12894092759837736,0.1461147492089219,0.13219245837445906
0,1982-01-01,41.224998474121094,-104.02499389648438,1,-32767.0,41.199997,-103.99999,0.1033,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12894092759837736,0.12894092759837736,0.1461147492089219,0.13219245837445906
0,1982-01-01,41.17499923706055,-104.2249984741211,0,-32767.0,41.2,-104.25,0.0971,2019-12-30 20:58:11.997528076,16514.0,1.0,0.106439663344553,0.106439663344553,0.11607464334460697,0.13769226882703337
0,1982-01-01,41.17499923706055,-104.2249984741211,1,-32767.0,41.149998,-104.2,0.0971,2019-12-30 20:58:11.997528076,16514.0,1.0,0.106439663344553,0.106439663344553,0.11607464334460697,0.13769226882703337
0,1982-01-01,41.17499923706055,-104.17499542236328,0,-32767.0,41.2,-104.2,0.1006,2019-12-30 20:58:11.997528076,16514.0,1.0,0.10968882804595845,0.10968882804595845,0.11922957617397283,0.1296292403647031
0,1982-01-01,41.17499923706055,-104.17499542236328,1,-32767.0,41.149998,-104.149994,0.1006,2019-12-30 20:58:11.997528076,16514.0,1.0,0.10968882804595845,0.10968882804595845,0.11922957617397283,0.1296292403647031
0,1982-01-01,41.17499923706055,-104.125,0,-32767.0,41.2,-104.15,0.1051,2019-12-30 20:58:11.997528076,16514.0,1.0,0.1069288600225572,0.1069288600225572,0.12314772043766818,0.1368299841595124
0,1982-01-01,41.17499923706055,-104.125,1,-32767.0,41.149998,-104.1,0.1051,2019-12-30 20:58:11.997528076,16514.0,1.0,0.1069288600225572,0.1069288600225572,0.12314772043766818,0.1368299841595124
0,1982-01-01,41.17499923706055,-104.07499694824219,0,-32767.0,41.2,-104.1,0.1016,2019-12-30 20:58:11.997528076,16514.0,1.0,0.10855361047736051,0.10855361047736051,0.12618160487279884,0.12061600564943152
0,1982-01-01,41.17499923706055,-104.07499694824219,1,-32767.0,41.149998,-104.049995,0.1016,2019-12-30 20:58:11.997528076,16514.0,1.0,0.10855361047736051,0.10855361047736051,0.12618160487279884,0.12061600564943152
0,1982-01-01,41.17499923706055,-104.02499389648438,0,-32767.0,41.2,-104.049995,0.104399994,2019-12-30 20:58:11.997528076,16514.0,1.0,0.13075927609604082,0.13075927609604082,0.14482545581954695,0.12370556643962927
0,1982-01-01,41.17499923706055,-104.02499389648438,1,-32767.0,41.149998,-103.99999,0.104399994,2019-12-30 20:58:11.997528076,16514.0,1.0,0.13075927609604082,0.13075927609604082,0.14482545581954695,0.12370556643962927
0,1982-01-01,41.124996185302734,-104.2249984741211,0,-32767.0,41.149998,-104.25,0.096,2019-12-30 20:58:11.997528076,16514.0,1.0,0.11209269000383137,0.11209269000383137,0.11564094315188271,0.12941689269196413
0,1982-01-01,41.124996185302734,-104.2249984741211,1,-32767.0,41.099995,-104.2,0.096,2019-12-30 20:58:11.997528076,16514.0,1.0,0.11209269000383137,0.11209269000383137,0.11564094315188271,0.12941689269196413
0,1982-01-01,41.124996185302734,-104.17499542236328,0,-32767.0,41.149998,-104.2,0.098,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12434423432368771,0.12434423432368771,0.1300590130704282,0.1377177100120588
0,1982-01-01,41.124996185302734,-104.17499542236328,1,-32767.0,41.099995,-104.149994,0.098,2019-12-30 20:58:11.997528076,16514.0,1.0,0.12434423432368771,0.12434423432368771,0.1300590130704282,0.1377177100120588
0,1982-01-01,41.124996185302734,-104.125,0,-32767.0,41.149998,-104.15,0.1048,2019-12-30 20:58:11.997528076,24706.0,1.0,0.12130263264340968,0.12130263264340968,0.141883099672192,0.14494453868263407
0,1982-01-01,41.124996185302734,-104.125,1,-32767.0,41.099995,-104.1,0.1048,2019-12-30 20:58:11.997528076,24706.0,1.0,0.12130263264340968,0.12130263264340968,0.141883099672192,0.14494453868263407
0,1982-01-01,41.124996185302734,-104.07499694824219,0,-32767.0,41.149998,-104.1,0.100999996,2019-12-30 20:58:11.997528076,16514.0,1.0,0.11407191731215245,0.11407191731215245,0.13346580697669058,0.1435500173121044
0,1982-01-01,41.124996185302734,-104.07499694824219,1,-32767.0,41.099995,-104.049995,0.100999996,2019-12-30 20:58:11.997528076,16514.0,1.0,0.11407191731215245,0.11407191731215245,0.13346580697669058,0.1435500173121044
0,1982-01-01,41.124996185302734,-104.02499389648438,0,-32767.0,41.149998,-104.049995,0.0945,2019-12-30 20:58:11.997528076,16514.0,1.0,0.11119934705488672,0.11119934705488672,0.15581317498064462,0.12783612129235009
